210101,2101,A1 A2 A3,Mon,14:30
210102,2101,B1 B2 B3,Mon,16:30
210103,2101,C1 C2 C3,Mon,20:30
210104,2101,D1 D2,Mon,22:50
210105,2101,E5,Tue,14:00
210106,2101,F8,Tue,16:00
210107,2101,G2 G3,Tue,20:00
210108,2101,A10 A11,Tue,22:00
210109,2101,B8 B9,Wed,14:30
210110,2101,C5 C6 C7 C8,Wed,16:30
210111,2101,D13,Wed,20:30
210112,2101,E11 E12,Wed,22:50
210113,2101,F10 F11,Thu,14:30
210114,2101,G9 G10,Thu,16:30
210115,2101,A5,Thu,20:30
210116,2101,B3 B4,Thu,22:50
210117,2101,C10 C11 C12,Fri,14:00
210118,2101,D14,Fri,16:00
210119,2101,E2 E3,Fri,20:00
210120,2101,F1 F2 F3,Fri,22:00
210121,2101,G4 G14,Sat,14:30
210122,2101,A1 A9,Sat,16:30
210123,2101,B2,Sat,20:30
210124,2101,C7,Sat,22:50
210125,2101,D8,Sun,14:00
210126,2101,E1 E10,Sun,16:00
210127,2101,F6 F7 F8,Sun,20:00
210128,2101,G2 G12,Sun,22:00
210201,2102,E5,Mon,14:40
210202,2102,B1 B2 B3,Mon,16:40
210203,2102,C1 C2 C3,Mon,20:40
210204,2102,D13,Mon,22:40
210205,2102,E11 E12,Tue,14:10
210206,2102,F10 F11,Tue,16:10
210207,2102,G2 G3,Tue,20:10
210208,2102,A10 A11,Tue,22:10
210209,2102,B8 B9,Wed,14:40
210210,2102,E1 E10,Wed,16:40
210211,2102,F6 F7 F8,Wed,20:40
210212,2102,G2 G12,Wed,22:40
210213,2102,G4 G14,Thu,14:40
210214,2102,A1 A9,Thu,16:40
210215,2102,B2,Thu,20:40
210216,2102,C7,Thu,22:40
210217,2102,B1 B2 B3,Fri,14:10
210218,2102,C1 C2 C3,Fri,16:10
210219,2102,D1 D2,Fri,20:10
210220,2102,E5,Fri,22:10
210221,2102,F8,Sat,14:40
210222,2102,G2 G3,Sat,16:40
210223,2102,A10 A11,Sat,20:40
210224,2102,B8 B9,Sat,22:40
210225,2102,A1 A9,Sun,14:10
210226,2102,B2,Sun,16:10
210227,2102,C7,Sun,20:10
210228,2102,D8,Sun,22:10
210301,2103,E1 E10,Mon,14:20
210302,2103,F8,Mon,16:40
210303,2103,F8,Mon,20:20
210304,2103,F8,Mon,22:40
210305,2103,F8,Tue,14:10
210306,2103,C7,Tue,16:40
210307,2103,B1 B2 B3,Tue,20:10
210308,2103,C1 C2 C3,Tue,22:40
210309,2103,D1 D2,Wed,14:00
210310,2103,E1 E10,Wed,17:00
210311,2103,F8,Wed,19:30
210312,2103,F8,Wed,22:30
210313,2103,G2 G3,Thu,14:15
210314,2103,A10 A11,Thu,17:15
210315,2103,B8 B9,Thu,20:00
210316,2103,A1 A9,Thu,22:30
210317,2103,G2 G12,Fri,14:00
210318,2103,G4 G14,Fri,17:00
210319,2103,A1 A9,Fri,19:30
210320,2103,B2,Fri,22:30
210321,2103,C7,Sat,14:20
210322,2103,B1 B2 B3,Sat,16:40
210323,2103,G4 G14,Sat,20:20
210324,2103,A1 A9,Sat,22:40
210325,2103,B2,Sun,14:10
210326,2103,C7,Sun,16:40
210327,2103,B1 B2 B3,Sun,20:10
210328,2103,C1 C2 C3,Sun,22:40
210401,2104,D1 D2,Mon,14:00
210402,2104,E5,Mon,17:00
210403,2104,F8,Mon,20:00
210404,2104,G2 G3,Mon,23:00
210405,2104,A10 A11,Tue,13:00
210406,2104,B8 B9,Tue,16:00
210407,2104,A1 A9,Tue,19:00
210408,2104,B2,Tue,22:00
210409,2104,A1 A2 A3,Wed,13:30
210410,2104,B1 B2 B3,Wed,16:30
210411,2104,C1 C2 C3,Wed,20:00
210412,2104,D1 D2,Wed,23:00
210413,2104,E5,Thu,12:00
210414,2104,F8,Thu,15:00
210415,2104,G2 G3,Thu,18:00
210416,2104,A10 A11,Thu,21:00
210417,2104,B8 B9,Fri,13:30
210418,2104,C5 C6 C7 C8,Fri,16:30
210419,2104,D13,Fri,20:00
210420,2104,E11 E12,Fri,23:00
210421,2104,F10 F11,Sat,12:00
210422,2104,G9 G10,Sat,15:00
210423,2104,D13,Sat,18:00
210424,2104,E11 E12,Sat,21:00
210425,2104,F10 F11,Sun,11:00
210426,2104,G2 G3,Sun,14:00
210427,2104,A10 A11,Sun,17:00
210428,2104,B8 B9,Sun,20:00
200101,2001,E1 E10,Mon,13:30
200102,2001,F6 F7 F8,Mon,16:30
200103,2001,G2 G12,Mon,20:00
200104,2001,G4 G14,Mon,23:00
200105,2001,A1 A9,Tue,13:00
200106,2001,B2,Tue,16:00
200107,2001,C7,Tue,19:00
200108,2001,B1 B2 B3,Tue,22:00
200109,2001,C1 C2 C3,Wed,12:00
200110,2001,D1 D2,Wed,15:00
200111,2001,E5,Wed,18:00
200112,2001,F8,Wed,21:00
200113,2001,G2 G3,Thu,13:00
200114,2001,A10 A11,Thu,16:00
200115,2001,B8 B9,Thu,19:00
200116,2001,A1 A9,Thu,22:00
200117,2001,B2,Fri,13:30
200118,2001,C7,Fri,16:30
200119,2001,D8,Fri,20:00
200120,2001,E1 E10,Fri,23:00
200121,2001,F8,Sat,12:00
200122,2001,F8,Sat,15:00
200123,2001,F8,Sat,18:00
200124,2001,F8,Sat,21:00
200125,2001,C7,Sun,11:00
200126,2001,B1 B2 B3,Sun,14:00
200127,2001,C1 C2 C3,Sun,17:00
200128,2001,D1 D2,Sun,20:00
